"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.090095830E-1,6.514734030E-2,1.383713722E0,9.687700272E0,9.786237499E0
6.113916140E-1,9.866471589E-2,1.359772801E0,9.668547630E0,9.764196335E0
6.137721350E-1,9.387651086E-2,1.331043482E0,9.702064514E0,9.793392946E0
6.161542180E-1,6.514734030E-2,1.340619922E0,9.740370750E0,9.832412131E0
6.185383850E-1,7.472373545E-2,1.369349122E0,9.702064514E0,9.798507871E0
6.209217710E-1,7.472373545E-2,1.359772801E0,9.678123474E0,9.773466104E0
6.233009370E-1,1.226056963E-1,1.393290162E0,9.668547630E0,9.769191518E0
6.256828120E-1,1.273939013E-1,1.354984522E0,9.697276115E0,9.792312103E0
6.280632290E-1,9.866471589E-2,1.326255441E0,9.721217155E0,9.811765957E0
6.304456250E-1,6.514734030E-2,1.350196242E0,9.678123474E0,9.772069794E0
6.328278640E-1,9.387651086E-2,1.383713722E0,9.711641312E0,9.810170917E0
6.352107290E-1,1.178174913E-1,1.374137282E0,9.706851959E0,9.804341344E0
6.375905730E-1,9.866471589E-2,1.364560843E0,9.730792999E0,9.826499550E0
6.399726040E-1,8.908830583E-2,1.331043482E0,9.721217155E0,9.812322684E0
6.423517710E-1,5.557093769E-2,1.388501883E0,9.687700272E0,9.786856603E0
6.447600520E-1,6.514734030E-2,1.412442923E0,9.649394035E0,9.752437871E0
6.471157290E-1,9.866471589E-2,1.383713722E0,9.692488670E0,9.791258092E0
6.494929680E-1,9.387651086E-2,1.345408201E0,9.706851959E0,9.800097499E0
6.518742180E-1,9.387651086E-2,1.350196242E0,9.726005554E0,9.819726408E0
6.542557810E-1,7.472373545E-2,1.383713722E0,9.678123474E0,9.776825726E0
6.566383850E-1,1.321820915E-1,1.340619922E0,9.716429710E0,9.809370020E0
6.590195830E-1,9.866471589E-2,1.359772801E0,9.735582352E0,9.830578850E0
6.614022910E-1,8.908830583E-2,1.335831761E0,9.745158195E0,9.836691084E0
6.637824480E-1,6.993553042E-2,1.364560843E0,9.735582352E0,9.830995931E0
6.661632810E-1,9.387651086E-2,1.350196242E0,9.687700272E0,9.781788141E0
6.685453120E-1,9.387651086E-2,1.378925562E0,9.678123474E0,9.776314361E0
6.709263020E-1,1.034529060E-1,1.354984522E0,9.745158195E0,9.839450890E0
6.733082810E-1,4.599453509E-2,1.345408201E0,9.711641312E0,9.804499768E0
6.756892710E-1,6.035912782E-2,1.345408201E0,9.682910919E0,9.776120413E0
6.780714060E-1,8.430013061E-2,1.364560843E0,9.663759232E0,9.759988488E0
6.804530730E-1,1.273939013E-1,1.354984522E0,9.692488670E0,9.787571143E0
6.828347390E-1,6.514734030E-2,1.345408201E0,9.745158195E0,9.837808478E0
6.852163020E-1,8.430013061E-2,1.378925562E0,9.716429710E0,9.814150423E0
6.875982290E-1,1.034529060E-1,1.369349122E0,9.678123474E0,9.775064885E0
6.899799480E-1,9.866471589E-2,1.369349122E0,9.678123474E0,9.775015382E0
6.923617710E-1,1.082411110E-1,1.340619922E0,9.726005554E0,9.818562112E0
6.947692710E-1,8.908830583E-2,1.350196242E0,9.711641312E0,9.805454787E0
6.971254680E-1,9.387651086E-2,1.359772801E0,9.682910919E0,9.778371988E0
6.995072390E-1,1.226056963E-1,1.364560843E0,9.673335075E0,9.769875635E0
7.018889060E-1,1.178174913E-1,1.359772801E0,9.706851959E0,9.802338394E0
7.042709370E-1,6.035912782E-2,1.369349122E0,9.721217155E0,9.817373540E0
7.066527080E-1,7.951192558E-2,1.374137282E0,9.740370750E0,9.837143781E0
7.090344270E-1,8.430013061E-2,1.364560843E0,9.702064514E0,9.797917567E0
7.114163540E-1,9.866471589E-2,1.364560843E0,9.668547630E0,9.764864274E0
