Cidade,UF,Capital,Área,Pop. 2010 (hab),Pop. 2019 (hab),Dens. demo. 2010 (hab/km2),Dens. demo. 2019 (hab/km2),IDHM 2010,PIB per capita 2017 (R$),Fundação
Érico Cardoso,Bahia,não,735.249,11381,10610,15.48,14.43,0.584,5408.45,
Anagé,Bahia,não,1899.683,24885,22005,13.10,11.58,0.540,8533.01,
Caetité,Bahia,não,2651.536,51572,50975,19.45,19.22,0.625,16407.92,
Dom Basílio,Bahia,não,689.516,11570,12199,16.78,17.69,0.591,8075.70,
Planalto,Bahia,não,769.000,21301,26265,27.70,34.15,0.560,8364.91,
Boquira,Bahia,não,1426.233,21193,21508,14.86,15.08,0.603,6711.30,
Araci,Bahia,não,1496.245,49660,54379,33.19,36.34,0.534,6811.66,
Caém,Bahia,não,540.908,10228,9213,18.91,17.03,0.546,7022.59,
Heliópolis,Bahia,não,313.438,12205,13031,38.94,41.57,0.563,6663.32,
Aiquara,Bahia,não,167.877,4838,4446,28.82,26.48,0.583,8722.15,
Dário Meira,Bahia,não,413.637,11921,10710,28.82,25.89,0.540,6999.88,
Gongogi,Bahia,não,202.194,8548,7128,42.28,35.25,0.576,7490.03,
Licínio de Almeida,Bahia,não,856.626,12506,12388,14.60,14.46,0.621,8035.87,
Presidente Dutra,Bahia,não,232.064,19509,15142,84.07,65.25,0.614,6429.46,
Serra Dourada,Bahia,não,1592.245,21415,17386,13.45,10.92,0.608,7663.52,
Tabocas do Brejo Velho,Bahia,não,1437.189,11943,12518,8.31,8.71,0.584,10386.03,
Mata de São João,Bahia,não,605.168,38403,46583,63.46,76.98,0.668,22407.10,
Matina,Bahia,não,773.278,11112,12201,14.37,15.78,0.572,5777.70,
Barro Preto,Bahia,não,201.585,10131,5591,50.26,27.74,0.602,9642.88,
Antônio Cardoso,Bahia,não,293.530,11518,11683,39.24,39.8,0.561,8630.73,
Pau Brasil,Bahia,não,626.306,11204,9831,17.89,15.7,0.583,9119.37,
Maracás,Bahia,não,2413.270,26352,20834,10.92,8.63,0.607,19659.12,
Carinhanha,Bahia,não,2525.906,26193,29018,10.37,11.49,0.576,6933.90,
Biritinga,Bahia,não,553.762,14934,15979,26.97,28.86,0.538,6918.15,
